pd_multiplier,apr_strategy,cost_of_funds_annual,acquisition_cost,lgd,k_star_approve_pct,cutoff_pd_star,max_total_profit_at_k_star,youden_approve_pct_full,cutoff_gap_profit_minus_youden,category
1.0,tiered_cap_24,0.03,0,0.55,100.0,0.19155113956429146,273816187.1110384,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,0,0.65,100.0,0.19155113956429146,271553872.0227295,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,0,0.75,100.0,0.19155113956429146,269291556.9344204,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,0,0.85,100.0,0.19155113956429146,267029241.8461098,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,250,0.55,100.0,0.19155113956429146,214824187.11103573,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,250,0.65,100.0,0.19155113956429146,212561872.02272877,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,250,0.75,100.0,0.19155113956429146,210299556.9344243,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,250,0.85,100.0,0.19155113956429146,208037241.8461085,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,500,0.55,100.0,0.19155113956429146,155832187.1110389,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,500,0.65,100.0,0.19155113956429146,153569872.02272806,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.03,500,0.75,99.97669175481421,0.17789858353335242,151309146.92776603,79.40568212639002,20.571009628424193,approve_all
1.0,tiered_cap_24,0.03,500,0.85,99.935584486032,0.16985251038536625,149060971.9717287,79.40568212639002,20.52990235964198,approve_all
1.0,tiered_cap_24,0.06,0,0.55,100.0,0.19155113956429146,203353722.3862804,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.06,0,0.65,100.0,0.19155113956429146,201091407.2979751,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.06,0,0.75,100.0,0.19155113956429146,198829092.20966756,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.06,0,0.85,100.0,0.19155113956429146,196566777.1213524,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.06,250,0.55,100.0,0.19155113956429146,144361722.38628367,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.06,250,0.65,100.0,0.19155113956429146,142099407.29797667,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.06,250,0.75,99.97669175481421,0.17789858353335242,139838028.8505881,79.40568212639002,20.571009628424193,approve_all
1.0,tiered_cap_24,0.06,250,0.85,99.9029529427719,0.16430127759282215,137592358.13127726,79.40568212639002,20.497270816381885,approve_all
1.0,tiered_cap_24,0.06,500,0.55,100.0,0.19155113956429146,85369722.38628447,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_cap_24,0.06,500,0.65,99.96482573908327,0.174769025351924,83113561.48625103,79.40568212639002,20.559143612693248,approve_all
1.0,tiered_cap_24,0.06,500,0.75,99.84150393273664,0.15607192781759482,80888234.48881616,79.40568212639002,20.435821806346624,approve_all
1.0,tiered_cap_24,0.06,500,0.85,99.65249525359371,0.1373827191808035,78720481.53347285,79.40568212639002,20.246813127203694,approve_all
1.0,flat_18,0.0,0,0.55,100.0,0.19155113956429146,415320511.0820062,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.0,0,0.65,100.0,0.19155113956429146,413089203.21017826,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.0,0,0.75,100.0,0.19155113956429146,410857895.33833396,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.0,0,0.85,100.0,0.19155113956429146,408626587.4664987,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.0,250,0.55,100.0,0.19155113956429146,356328511.0820087,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.0,250,0.65,100.0,0.19155113956429146,354097203.2101795,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.0,250,0.75,99.97669175481421,0.17789858353335242,351867085.4234271,79.40568212639002,20.571009628424193,approve_all
1.0,flat_18,0.0,250,0.85,99.9029529427719,0.16430127759282215,349652972.6226589,79.40568212639002,20.497270816381885,approve_all
1.0,flat_18,0.0,500,0.55,100.0,0.19155113956429146,297336511.08200836,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.0,500,0.65,99.96482573908327,0.174769025351924,295112063.7083784,79.40568212639002,20.559143612693248,approve_all
1.0,flat_18,0.0,500,0.75,99.84150393273664,0.15607192781759482,292919973.7572899,79.40568212639002,20.435821806346624,approve_all
